name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
OBS_E:228433.0_N:8192778.0_X:14153_Y:4197,6.9781,0.980337,4.05826,10.1721,7.95843,5.99776,0.409139,0.505546,0.022605,2.26051,0.914685,-0.0964062,1.79775
OBS_E:233194.0_N:8190440.0_X:9392_Y:6535,9.96821,0.977063,6.62755,13.4733,10.9453,8.99115,0.705906,0.872239,0.039002,3.90016,1.57815,-0.166334,2.72739
OBS_E:233908.0_N:8189011.0_X:8678_Y:7964,15.9943,0.989884,12.1642,19.2136,16.9842,15.0044,0.668239,0.825697,0.03692,3.69205,1.49394,-0.157458,8.47215
OBS_E:235327.0_N:8184950.0_X:7259_Y:12025,20.0496,1.00679,16.5974,22.9585,21.0564,19.0428,0.460109,0.568526,0.025421,2.54212,1.02863,-0.108416,14.0552
OBS_E:235614.0_N:8190354.0_X:6972_Y:6621,13.9755,0.985148,10.8164,17.7291,14.9606,12.9903,0.943145,1.16538,0.052109,5.21092,2.10853,-0.222235,5.60548
OBS_E:235682.0_N:8187652.0_X:6904_Y:9323,24.9722,0.97141,22.091,28.0202,25.9437,24.0008,0.687864,0.849946,0.038005,3.80048,1.53781,-0.162082,18.2905
OBS_E:236163.0_N:8190958.0_X:6423_Y:6017,27.9799,0.991466,24.696,31.0029,28.9714,26.9884,1.06599,1.31717,0.058896,5.88964,2.38316,-0.251181,18.8064
OBS_E:236538.0_N:8191417.0_X:6048_Y:5558,19.9191,1.00811,16.1856,22.9451,20.9273,18.911,1.16031,1.43372,0.064108,6.41077,2.59403,-0.273406,9.77486
OBS_E:237454.0_N:8185525.0_X:5132_Y:11450,20.0077,1.00522,17.0759,22.7977,21.0129,19.0025,0.588989,0.727773,0.032542,3.25419,1.31676,-0.138784,13.8218
OBS_E:237496.0_N:8190167.0_X:5090_Y:6808,30.0202,0.983961,27.2244,32.9216,31.0042,29.0363,1.11375,1.37618,0.061535,6.1535,2.48993,-0.262434,21.0709
OBS_E:238665.0_N:8188244.0_X:3921_Y:8731,22.0271,1.03912,18.1128,25.2484,23.0662,20.988,0.949478,1.1732,0.052459,5.24591,2.12268,-0.223727,12.8669
OBS_E:238954.0_N:8189678.0_X:3632_Y:7297,29.0322,0.976345,25.4434,32.2897,30.0086,28.0559,1.17067,1.44651,0.06468,6.46799,2.61718,-0.275846,18.9754
OBS_E:239587.0_N:8185586.0_X:2999_Y:11389,8.95708,1.00787,6.28204,11.762,9.96495,7.94921,0.668318,0.825795,0.036925,3.69249,1.49411,-0.157477,2.58955
OBS_E:239760.0_N:8190677.0_X:2826_Y:6298,33.9472,0.972576,30.6761,37.2034,34.9198,32.9747,1.38353,1.70954,0.076441,7.64408,3.09307,-0.326004,23.032
OBS_E:240931.0_N:8186974.0_X:1655_Y:10001,9.02936,1.00203,5.87192,12.1737,10.0314,8.02733,0.869657,1.07458,0.048049,4.80489,1.94423,-0.204919,1.06703
OBS_E:241878.0_N:8190407.0_X:708_Y:6568,13.9769,1.04606,10.1063,17.2551,15.0229,12.9308,1.43551,1.77376,0.079312,7.93124,3.20927,-0.338251,2.1751
OBS_E:244750.0_N:8189532.0_X:-2164_Y:7443,25.0266,1.01387,21.6921,28.0947,26.0404,24.0127,1.23743,1.52901,0.068368,6.83685,2.76644,-0.291577,14.8553
